user,userplays,artist,album,song,date
jkingisdrained,26,Bladee,Icedancer,Be Nice 2 Me,2023-07-09 04:16:08.386000+00:00
viplife,35,Bladee,Eversince,Who Goes There,2023-07-09 04:16:33.814000+00:00
dug_3,19,Bladee,Icedancer,SmartWater,2023-07-09 04:16:48.868000+00:00
dug_3,20,Bladee,Icedancer,SmartWater,2023-07-09 04:16:48.868000+00:00
sinkoe,132,Bladee,Eversince,So What,2023-07-09 04:16:59.375000+00:00
1zane,32,Bladee,333,Reality Surf,2023-07-09 04:17:56.586000+00:00
jkingisdrained,27,Bladee,Red Light,Obedient,2023-07-09 04:18:06.674000+00:00
p4aoo,148,Bladee,Eversince,Lovenote,2023-07-09 04:18:24.603000+00:00
p4aoo,149,Bladee,Eversince,Lovenote,2023-07-09 04:18:34.121000+00:00
enbycarry,22,Bladee,Eversince,Romeo,2023-07-09 04:19:15.202000+00:00
.4lic,1,Bladee,Eversince,Who Goes There,2023-07-09 04:20:20.353000+00:00
enbycarry,23,Bladee,Eversince,Xd Out,2023-07-09 04:20:35.017000+00:00
.cunning,1,Cartier God,Let Me Go,Let Me Go,2023-07-09 04:20:40.757000+00:00
felixalicious,19,Bladee,Working on Dying,Under Your Spell,2023-07-09 04:20:47.401000+00:00
felixalicious,20,Bladee,Working on Dying,Under Your Spell,2023-07-09 04:20:57.389000+00:00
jkingisdrained,28,Bladee,333,Reality Surf,2023-07-09 04:21:06.580000+00:00
enbycarry,24,Bladee,Eversince,Xd Out,2023-07-09 04:21:46.985000+00:00
sinkoe,133,Bladee,Red Velvet,Red Velvet,2023-07-09 04:22:34.812000+00:00
viplife,36,Bladee,Red Light,Westfield,2023-07-09 04:22:52.950000+00:00
jkingisdrained,29,Bladee,EXETER,LOVESTORY,2023-07-09 04:23:10.779000+00:00
8o8wk,51,Bladee,333,Only One,2023-07-09 04:23:12.852000+00:00
stefanburnett.,10,Bladee,Icedancer,Mallwhore Freeestyle,2023-07-09 04:23:33.115000+00:00
f7p,370,Ecco2k,Trash Island,Western Union,2023-07-09 04:23:37.836000+00:00
stefanburnett.,11,Bladee,Working on Dying,Redlight Moments,2023-07-09 04:23:53.115000+00:00
enbycarry,25,Bladee,Eversince,Sick,2023-07-09 04:24:10.201000+00:00
enbycarry,26,Bladee,Eversince,Rip,2023-07-09 04:24:11.982000+00:00
enbycarry,27,Bladee,Eversince,Rip,2023-07-09 04:24:11.982000+00:00
.cunning,2,Bladee,Gluee,Unreal,2023-07-09 04:24:46.856000+00:00
.cunning,3,Bladee,Gluee,Unreal,2023-07-09 04:24:56.836000+00:00
jkingisdrained,30,Bladee,The Fool,BBY,2023-07-09 04:25:26.680000+00:00
enbycarry,28,Bladee,Eversince,Bloodveil / Stillborn,2023-07-09 04:25:40.017000+00:00
ljxi,6,Bladee,Icedancer,OKK,2023-07-09 04:25:48.387000+00:00
cexn,7,Bladee,Gluee,Safehouse,2023-07-09 04:25:52.875000+00:00
cexn,8,Bladee,Gluee,Safehouse,2023-07-09 04:26:02.665000+00:00
vvolkan,90,Bladee,Red Light,For You,2023-07-09 04:26:23.364000+00:00
hayliexyz,1,Bladee,Red Velvet,Red Velvet,2023-07-09 04:26:29.789000+00:00
sinkoe,134,Bladee,EXETER,EVERY MOMENT SPECIAL,2023-07-09 04:26:31.064000+00:00
hayliexyz,2,Bladee,Red Velvet,Red Velvet,2023-07-09 04:26:49.314000+00:00
hayliexyz,3,Bladee,Red Velvet,Red Velvet,2023-07-09 04:26:50.329000+00:00
hayliexyz,4,Bladee,Red Velvet,Red Velvet,2023-07-09 04:26:52.555000+00:00
zibellina,7,Bladee,rip bladee,50SACINMYSOCIDGAF,2023-07-09 04:27:10.928000+00:00
jkingisdrained,31,Bladee,Spiderr,ICARUS 3REESTYLE,2023-07-09 04:27:28.075000+00:00
sinkoe,135,Bladee,EXETER,EVERY MOMENT SPECIAL,2023-07-09 04:26:31.064000+00:00
sinkoe,136,Bladee,D&G,Scarecrows,2023-07-09 04:28:34.782000+00:00
